time,node_id,power
0,0,10.0
0,1,10.0
0,2,10.0
0,3,10.0
0,4,10.0
0,5,10.0
0,6,10.0
0,7,10.0
0,8,10.0
0,9,10.0
0,10,10.0
0,11,10.0
0,12,10.0
0,13,10.0
0,14,10.0
0,15,10.0
0,16,10.0
0,17,10.0
0,18,10.0
0,19,10.0
0,20,10.0
0,21,10.0
0,22,10.0
0,23,10.0
0,24,10.0
0,25,10.0
0,26,10.0
0,27,10.0
0,28,10.0
0,29,10.0
0,30,10.0
0,31,10.0
0,32,10.0
0,33,10.0
0,34,10.0
0,35,10.0
0,36,10.0
0,37,10.0
0,38,10.0
0,39,10.0
0,40,10.0
0,41,10.0
0,42,10.0
0,43,10.0
0,44,10.0
0,45,10.0
0,46,10.0
0,47,10.0
0,48,10.0
0,49,10.0
0,50,10.0
0,51,10.0
0,52,10.0
0,53,10.0
0,54,10.0
0,55,10.0
0,56,10.0
0,57,10.0
0,58,10.0
0,59,10.0
0,60,10.0
0,61,10.0
0,62,10.0
0,63,10.0
0,64,10.0
0,65,10.0
0,66,10.0
0,67,10.0
0,68,10.0
0,69,10.0
0,70,10.0
0,71,10.0
0,72,10.0
0,73,10.0
0,74,10.0
0,75,10.0
0,76,10.0
0,77,10.0
0,78,10.0
0,79,10.0
0,80,10.0
0,81,10.0
0,82,10.0
0,83,10.0
0,84,10.0
0,85,10.0
0,86,10.0
0,87,10.0
0,88,10.0
0,89,10.0
0,90,10.0
0,91,10.0
0,92,10.0
0,93,10.0
0,94,10.0
0,95,10.0
0,96,10.0
0,97,10.0
0,98,10.0
0,99,10.0
100,0,9.98621299520001
100,1,9.995678060799996
100,2,9.9985712704
100,3,10.0
100,4,9.9801407872
100,5,9.977926406400009
100,6,10.0
100,7,10.0
100,8,10.0
100,9,10.0
100,10,10.0
100,11,9.988391840000013
100,12,9.970532720000005
100,13,9.981890841599991
100,14,10.0
100,15,10.0
100,16,9.899202847999938
100,17,999998.8948643025
100,18,9.9936064672
100,19,10.0
100,20,10.0
100,21,10.0
100,22,10.0
100,23,9.993035104000008
100,24,10.0
100,25,9.861860537599995
100,26,9.91838344639994
100,27,9.956477372799984
100,28,9.980730025599993
100,29,10.0
100,30,10.0
100,31,10.0
100,32,9.965139340800008
100,33,9.983462358399986
100,34,9.969032060799972
